"ecoregion","TAXA","value"
"AT1012","Mammals",0.00676782025574072
"AT1013","Mammals",0.0364733617556553
"AT1014","Mammals",0.0121293947098905
"AT1015","Mammals",0.0171353483656804
"AT1201","Mammals",0.005169141997569
"AT1202","Mammals",0.0214964455089296
"AT1203","Mammals",0.019484407065058
"AT1302","Mammals",0.0100388674088341
"AT1303","Mammals",0.0122313699208772
"AT1304","Mammals",0.000706295115399571
"AT1305","Mammals",0.0391123648620403
"AT1306","Mammals",0.0251668286159345
"AT1307","Mammals",0.014911768604536
"AT1308","Mammals",0
"AT1309","Mammals",0.0314445069562592
"AT1310","Mammals",0.00616218628508231
"AT1311","Mammals",0.172192657037783
"AT1312","Mammals",0.218163091814407
"AT1313","Mammals",0.0151616590767385
"AT1314","Mammals",0.06631091962853
"AT1315","Mammals",0.0192824692208631
"AT1316","Mammals",0.0218890085725065
"AT1318","Mammals",0.00342776524448207
"AT1319","Mammals",0.0195405657016873
"AT1320","Mammals",0.0200358861587988
"AT1321","Mammals",0.012548049350214
"AT1322","Mammals",0.0429262573526513
"AT1401","Mammals",0.0339750642703603
"AT1402","Mammals",0.0240889321167063
"AT1403","Mammals",0.01377941864198
"AT1404","Mammals",0.0308362112190551
"AT1405","Mammals",0.00114181127108654
"IM0101","Mammals",0.451229857923932
"IM0102","Mammals",0.155768819672126
"IM0103","Mammals",0.0708162730449657
"IM0104","Mammals",0.0230273713590178
"IM0105","Mammals",0.0201696624068472
"IM0106","Mammals",0.0161494320891215
"IM0107","Mammals",0.00767890141227887
"IM0108","Mammals",0.00638677673846994
"IM0109","Mammals",0.00965884953251849
"IM0110","Mammals",0.0975487825171463
"IM0111","Mammals",0.0264153670484721
"IM0112","Mammals",0.0178802823741141
"IM0113","Mammals",0.0424217717714892
"IM0114","Mammals",0.145045598074205
"IM0115","Mammals",0.0167729935943619
"IM0116","Mammals",0.00135162678331769
"IM0117","Mammals",0.0167141366495229
"IM0118","Mammals",0.041376916709041
"IM0119","Mammals",0.0183304164388314
"IM0120","Mammals",0.010226590520343
"IM0121","Mammals",0.0230230487449412
"IM0122","Mammals",0.0582840252275503
"IM0123","Mammals",0.147923761812195
"IM0124","Mammals",0.0225753310492173
"IM0125","Mammals",0.000327814636615807
"IM0126","Mammals",0.011833324470987
"IM0127","Mammals",0.228752510385742
"IM0128","Mammals",0.110045081994299
"IM0129","Mammals",0.136762988076956
"IM0130","Mammals",0.216918875890551
"IM0131","Mammals",0.0237903478304751
"IM0132","Mammals",0.00642758534050482
"IM0133","Mammals",0.169886586595362
"IM0134","Mammals",0.00653701082195573
"IM0135","Mammals",0.018483720463847
"IM0136","Mammals",0.0771048406472526
"IM0137","Mammals",0.0728828358852438
"IM0138","Mammals",0.00349756379239668
"IM0139","Mammals",0.00986243563992966
"IM0140","Mammals",0.0273519637256486
"IM0141","Mammals",0.0166473442062222
"IM0142","Mammals",0.00157283048538723
"IM0143","Mammals",0.127978025851527
"IM0144","Mammals",0.0225019549351929
"IM0145","Mammals",0.00271357739849093
"IM0146","Mammals",0.0768131284426719
"IM0147","Mammals",0.00286748658433344
"IM0148","Mammals",0
"IM0149","Mammals",0.0458452204464105
"IM0150","Mammals",0.0335832321351589
"IM0151","Mammals",0.047760360777151
"IM0152","Mammals",0.0267646130689172
"IM0153","Mammals",0.0121730336075776
"IM0154","Mammals",0.0839267787858284
"IM0155","Mammals",0.0445543064000829
"IM0156","Mammals",0.0402980018379451
"IM0157","Mammals",0.00613530569833054
"IM0158","Mammals",0.0962883804039
"IM0159","Mammals",0.0726943047487139
"IM0160","Mammals",0.0205470699933185
"IM0161","Mammals",0.0231620165697656
"IM0162","Mammals",0.00122275680371753
"IM0163","Mammals",0.0281349139643568
"IM0164","Mammals",0.00281730986956434
"IM0165","Mammals",0.00302253963591337
"IM0166","Mammals",0.0208931627150276
"IM0167","Mammals",0.0780217482447282
"IM0168","Mammals",0.0467254621156417
"IM0169","Mammals",0.0340080744502449
"IM0170","Mammals",0.241390521527951
"IM0171","Mammals",0.00395767253181045
"IM0172","Mammals",0.0915176411217295
"IM0201","Mammals",0.0152188359005706
"IM0202","Mammals",0.033176075921575
"IM0203","Mammals",0.0170631789105653
"IM0204","Mammals",0.00183080277136007
"IM0205","Mammals",0.00347097787532614
"IM0206","Mammals",0.0123583540129966
"IM0207","Mammals",0.0181626202395351
"IM0208","Mammals",0.00371927302304584
"IM0209","Mammals",0.0244123317354118
"IM0210","Mammals",0.0418231616080883
"IM0211","Mammals",0.0172600313580593
"IM0212","Mammals",0.0534143009198477
"IM0301","Mammals",0.0143563946380764
"IM0302","Mammals",0.156229637375271
"IM0303","Mammals",0.00264893738241225
"IM0304","Mammals",0.00264208219903744
"IM0401","Mammals",0.024270766285629
"IM0402","Mammals",0.00541039610159261
"IM0403","Mammals",0.0178994529425214
"IM0501","Mammals",0.0173894322574092
"IM0502","Mammals",0.0103526706901874
"IM0701","Mammals",0.015828895984388
"IM0901","Mammals",0.00258147887679342
"IM1001","Mammals",0.0237814570130167
"IM1301","Mammals",0.0228196767246504
"IM1302","Mammals",0.000427498216785537
"IM1303","Mammals",0.0124950706458182
"IM1304","Mammals",0.012832904023743
"IM1401","Mammals",0.000517769634132124
"IM1402","Mammals",0.00217736224312552
"IM1403","Mammals",0.000333855971444282
"IM1404","Mammals",0.00176159290535324
"IM1405","Mammals",0.012055931028047
"IM1406","Mammals",0.00218906558833467
"NA0201","Mammals",0.0139633054309963
"NA0302","Mammals",0.032191270690427
"NA0303","Mammals",0.0238717225309146
"NA0401","Mammals",0.00403917244205155
"NA0402","Mammals",0.012188449384968
"NA0403","Mammals",0.0133149179114411
"NA0404","Mammals",0.0144794717579499
"NA0405","Mammals",0.00451818129267583
"NA0406","Mammals",0.00910396588008447
"NA0407","Mammals",0.00374378620482064
"NA0408","Mammals",0.00198592560272136
"NA0409","Mammals",0.00585107952548447
"NA0410","Mammals",0.0122506319511297
"NA0411","Mammals",0.00975938249406067
"NA0412","Mammals",0.00379465217061005
"NA0413","Mammals",0.0178863326926902
"NA0414","Mammals",0.00747208206128638
