"ecoregion","TAXA","value"
"IM0151","Mammals",102
"IM0152","Mammals",146
"IM0153","Mammals",127
"IM0154","Mammals",77
"IM0155","Mammals",82
"IM0156","Mammals",17
"IM0157","Mammals",143
"IM0158","Mammals",172
"IM0159","Mammals",166
"IM0160","Mammals",137
"IM0161","Mammals",151
"IM0162","Mammals",61
"IM0163","Mammals",193
"IM0164","Mammals",99
"IM0165","Mammals",100
"IM0166","Mammals",123
"IM0167","Mammals",125
"IM0168","Mammals",121
"IM0169","Mammals",89
"IM0170","Mammals",20
"IM0171","Mammals",60
"IM0172","Mammals",64
"IM0201","Mammals",94
"IM0202","Mammals",216
"IM0203","Mammals",103
"IM0204","Mammals",70
"IM0205","Mammals",153
"IM0206","Mammals",98
"IM0207","Mammals",103
"IM0208","Mammals",79
"IM0209","Mammals",111
"IM0210","Mammals",167
"IM0211","Mammals",121
"IM0212","Mammals",75
"IM0301","Mammals",162
"IM0302","Mammals",38
"IM0303","Mammals",144
"IM0304","Mammals",140
"IM0401","Mammals",183
"IM0402","Mammals",132
"IM0403","Mammals",115
"IM0501","Mammals",130
"IM0502","Mammals",102
"IM0701","Mammals",115
"IM0901","Mammals",60
"IM1001","Mammals",162
"IM1301","Mammals",107
"IM1302","Mammals",51
"IM1303","Mammals",139
"IM1304","Mammals",76
"IM1401","Mammals",72
"IM1402","Mammals",189
"IM1403","Mammals",80
"IM1404","Mammals",151
"IM1405","Mammals",174
"IM1406","Mammals",51
"NA0201","Mammals",95
"NA0302","Mammals",164
"NA0303","Mammals",169
"NA0401","Mammals",58
"NA0402","Mammals",73
"NA0403","Mammals",73
"NA0404","Mammals",69
"NA0405","Mammals",65
"NA0406","Mammals",58
"NA0407","Mammals",56
"NA0408","Mammals",46
"NA0409","Mammals",62
"NA0410","Mammals",58
"NA0411","Mammals",63
"NA0412","Mammals",61
"NA0413","Mammals",66
"NA0414","Mammals",60
"NA0415","Mammals",62
"NA0416","Mammals",64
"NA0417","Mammals",77
"NA0501","Mammals",57
"NA0502","Mammals",61
"NA0503","Mammals",123
"NA0504","Mammals",45
"NA0505","Mammals",77
"NA0506","Mammals",78
"NA0507","Mammals",81
"NA0508","Mammals",97
"NA0509","Mammals",59
"NA0510","Mammals",74
"NA0511","Mammals",103
"NA0512","Mammals",101
"NA0513","Mammals",43
"NA0514","Mammals",61
"NA0515","Mammals",91
"NA0516","Mammals",87
"NA0517","Mammals",58
"NA0518","Mammals",79
"NA0519","Mammals",77
"NA0520","Mammals",45
"NA0521","Mammals",51
"NA0522","Mammals",79
"NA0523","Mammals",60
"NA0524","Mammals",68
"NA0525","Mammals",3
"NA0526","Mammals",66
"NA0527","Mammals",103
"NA0528","Mammals",99
"NA0529","Mammals",54
"NA0530","Mammals",91
"NA0601","Mammals",33
"NA0602","Mammals",49
"NA0603","Mammals",39
"NA0604","Mammals",37
"NA0605","Mammals",47
"NA0606","Mammals",34
"NA0607","Mammals",43
"NA0608","Mammals",55
"NA0609","Mammals",46
"NA0610","Mammals",50
"NA0611","Mammals",10
"NA0612","Mammals",46
"NA0613","Mammals",55
"NA0614","Mammals",48
"NA0615","Mammals",7
"NA0616","Mammals",45
"NA0617","Mammals",48
"NA0701","Mammals",75
"NA0801","Mammals",79
"NA0802","Mammals",72
"NA0803","Mammals",88
"NA0804","Mammals",81
"NA0805","Mammals",67
"NA0806","Mammals",64
"NA0807","Mammals",59
"NA0808","Mammals",88
"NA0809","Mammals",59
"NA0810","Mammals",77
"NA0811","Mammals",78
"NA0812","Mammals",63
"NA0813","Mammals",87
"NA0814","Mammals",61
"NA0815","Mammals",107
"NA1101","Mammals",44
"NA1102","Mammals",3
"NA1103","Mammals",31
"NA1104","Mammals",31
"NA1105","Mammals",9
"NA1106","Mammals",40
"NA1107","Mammals",38
"NA1108","Mammals",38
"NA1109","Mammals",9
"NA1110","Mammals",10
"NA1111","Mammals",48
"NA1112","Mammals",8
"NA1113","Mammals",4
"NA1114","Mammals",31
"NA1115","Mammals",16
"NA1116","Mammals",45
"NA1117","Mammals",50
"NA1118","Mammals",20
"NA1201","Mammals",74
"NA1202","Mammals",89
"NA1203","Mammals",78
"NA1301","Mammals",60
"NA1302","Mammals",130
"NA1303","Mammals",134
"NA1304","Mammals",122
"NA1305","Mammals",105
"NA1306","Mammals",58
"NA1307","Mammals",127
"NA1308","Mammals",98
"NA1309","Mammals",104
"NA1310","Mammals",120
"NA1311","Mammals",102
"NA1312","Mammals",90
"NA1313","Mammals",83
"NT0101","Mammals",141
"NT0102","Mammals",196
"NT0103","Mammals",166
"NT0104","Mammals",182
"NT0105","Mammals",245
"NT0106","Mammals",124
"NT0107","Mammals",193
"NT0108","Mammals",205
"NT0109","Mammals",201
"NT0111","Mammals",172
"NT0112","Mammals",191
"NT0113","Mammals",163
"NT0114","Mammals",145
"NT0115","Mammals",215
"NT0116","Mammals",0
"NT0117","Mammals",194
"NT0118","Mammals",254
"NT0119","Mammals",186
"NT0120","Mammals",33
"NT0121","Mammals",238
"NT0122","Mammals",198
"NT0124","Mammals",237
"NT0125","Mammals",215
"NT0126","Mammals",174
"NT0127","Mammals",20
"NT0128","Mammals",255
"NT0129","Mammals",217
"NT0130","Mammals",190
"NT0131","Mammals",21
"NT0132","Mammals",189
"NT0133","Mammals",189
"NT0134","Mammals",12
"NT0135","Mammals",251
"NT0136","Mammals",230
"NT0137","Mammals",197
"NT0138","Mammals",184
"NT0139","Mammals",133
"NT0140","Mammals",174
"NT0141","Mammals",221
"NT0142","Mammals",243
"NT0143","Mammals",213
"NT0144","Mammals",119
"NT0145","Mammals",248
"NT0146","Mammals",185
"NT0147","Mammals",192
"NT0148","Mammals",130
"NT0149","Mammals",177
"NT0150","Mammals",213
"NT0151","Mammals",122
"NT0152","Mammals",132
"NT0153","Mammals",255
"NT0154","Mammals",191
"NT0155","Mammals",15
"NT0156","Mammals",219
"NT0157","Mammals",183
"NT0158","Mammals",216
"NT0159","Mammals",170
"NT0160","Mammals",175
"NT0161","Mammals",117
"NT0162","Mammals",148
"NT0163","Mammals",191
"NT0164","Mammals",36
"NT0165","Mammals",161
"NT0166","Mammals",303
"NT0167","Mammals",204
"NT0168","Mammals",179
"NT0169","Mammals",215
"NT0170","Mammals",164
"NT0171","Mammals",36
"NT0173","Mammals",207
"NT0174","Mammals",237
"NT0175","Mammals",225
"NT0176","Mammals",149
"NT0177","Mammals",128
"NT0178","Mammals",151
"NT0179","Mammals",19
"NT0180","Mammals",176
"NT0181","Mammals",111
"NT0182","Mammals",254
"NT0201","Mammals",238
"NT0202","Mammals",147
"NT0204","Mammals",139
"NT0205","Mammals",162
"NT0206","Mammals",175
"NT0207","Mammals",176
"NT0209","Mammals",195
"NT0210","Mammals",193
"NT0211","Mammals",160
"NT0212","Mammals",209
"NT0213","Mammals",34
"NT0214","Mammals",129
"NT0215","Mammals",20
"NT0216","Mammals",0
"NT0217","Mammals",137
"NT0218","Mammals",21
"NT0219","Mammals",174
"NT0220","Mammals",43
"NT0221","Mammals",171
"NT0222","Mammals",191
"NT0223","Mammals",138
"NT0224","Mammals",165
"NT0225","Mammals",155
"NT0226","Mammals",15
"NT0227","Mammals",46
"NT0228","Mammals",149
"NT0229","Mammals",179
"NT0230","Mammals",159
"NT0232","Mammals",100
"NT0233","Mammals",124
"NT0235","Mammals",87
"NT0301","Mammals",8
"NT0302","Mammals",122
"NT0303","Mammals",203
"NT0304","Mammals",34
"NT0305","Mammals",20
"NT0306","Mammals",128
"NT0307","Mammals",45
"NT0308","Mammals",176
"NT0309","Mammals",151
"NT0310","Mammals",197
"NT0401","Mammals",0
"NT0402","Mammals",30
"NT0404","Mammals",56
"NT0702","Mammals",212
"NT0703","Mammals",180
"NT0704","Mammals",254
"NT0705","Mammals",0
"NT0707","Mammals",225
"NT0708","Mammals",143
"NT0709","Mammals",223
"NT0710","Mammals",101
"NT0801","Mammals",81
"NT0802","Mammals",52
"NT0803","Mammals",73
"NT0805","Mammals",60
"NT0902","Mammals",33
"NT0903","Mammals",20
"NT0904","Mammals",38
"NT0905","Mammals",112
"NT0906","Mammals",176
"NT0907","Mammals",172
"NT0908","Mammals",97
"NT0909","Mammals",95
"NT1001","Mammals",49
"NT1002","Mammals",94
"NT1003","Mammals",94
"NT1004","Mammals",40
"NT1005","Mammals",51
"NT1006","Mammals",77
"NT1007","Mammals",26
"NT1008","Mammals",56
"NT1010","Mammals",86
"NT1201","Mammals",42
"NT1301","Mammals",163
"NT1303","Mammals",22
"NT1304","Mammals",158
"NT1305","Mammals",18
"NT1306","Mammals",32
"NT1307","Mammals",5
"NT1308","Mammals",194
"NT1309","Mammals",191
"NT1312","Mammals",138
"NT1313","Mammals",178
"NT1314","Mammals",50
"NT1315","Mammals",85
"NT1316","Mammals",140
"NT1318","Mammals",0
"NT1401","Mammals",271
"NT1402","Mammals",45
"NT1403","Mammals",185
"NT1404","Mammals",147
"NT1405","Mammals",211
"NT1406","Mammals",187
"NT1407","Mammals",202
"OC0103","Mammals",1
"OC0105","Mammals",7
"OC0106","Mammals",1
"OC0108","Mammals",0
"OC0109","Mammals",1
"OC0110","Mammals",1
"OC0112","Mammals",4
"OC0114","Mammals",2
"OC0115","Mammals",0
"OC0117","Mammals",0
"OC0201","Mammals",4
"OC0202","Mammals",1
