"TAXA","ecoregions","allLUType","value"
"Amphibians","AA0119","CurC_M",0.641921758490966
"Amphibians","AA0119","CurNC",0.413440210495114
"Amphibians","AA0119","CurNC_L",0.949880057665728
"Amphibians","AA0119","CurNC_M",0.641921758490966
"Amphibians","AA0119","PriFor",1
"Amphibians","AA0120","Cur0",1
"Amphibians","AA0120","CurC",0.413440210495114
"Amphibians","AA0120","CurC_L",0.949880057665728
"Amphibians","AA0120","CurC_M",0.641921758490965
"Amphibians","AA0120","CurNC",0.413440210495114
"Amphibians","AA0120","CurNC_L",0.949880057665728
"Amphibians","AA0120","CurNC_M",0.641921758490965
"Amphibians","AA0120","PriFor",1
"Amphibians","AA0121","Cur0",1
"Amphibians","AA0121","CurC",0.413440210495114
"Amphibians","AA0121","CurC_L",0.949880057665728
"Amphibians","AA0121","CurC_M",0.641921758490965
"Amphibians","AA0121","CurNC",0.413440210495114
"Amphibians","AA0121","CurNC_L",0.949880057665728
"Amphibians","AA0121","CurNC_M",0.641921758490965
"Amphibians","AA0121","PriFor",1
"Amphibians","AA0122","Cur0",1
"Amphibians","AA0122","CurC",0.413440210495114
"Amphibians","AA0122","CurC_L",0.949880057665728
"Amphibians","AA0122","CurC_M",0.641921758490965
"Amphibians","AA0122","CurNC",0.413440210495114
"Amphibians","AA0122","CurNC_L",0.949880057665728
"Amphibians","AA0122","CurNC_M",0.641921758490965
"Amphibians","AA0122","PriFor",1
"Amphibians","AA0123","Cur0",1
"Amphibians","AA0123","CurC",0.413440210495114
"Amphibians","AA0123","CurC_L",0.949880057665728
"Amphibians","AA0123","CurC_M",0.641921758490965
"Amphibians","AA0123","CurNC",0.413440210495114
"Amphibians","AA0123","CurNC_L",0.949880057665728
"Amphibians","AA0123","CurNC_M",0.641921758490965
"Amphibians","AA0123","PriFor",1
"Amphibians","AA0124","Cur0",1
"Amphibians","AA0124","CurC",0.413440210495114
"Amphibians","AA0124","CurC_L",0.949880057665728
"Amphibians","AA0124","CurC_M",0.641921758490965
"Amphibians","AA0124","CurNC",0.413440210495114
"Amphibians","AA0124","CurNC_L",0.949880057665728
"Amphibians","AA0124","CurNC_M",0.641921758490965
"Amphibians","AA0124","PriFor",1
"Amphibians","AA0125","Cur0",1
"Amphibians","AA0125","CurC",0.413440210495114
"Amphibians","AA0125","CurC_L",0.949880057665728
"Amphibians","AA0125","CurC_M",0.641921758490965
"Amphibians","AA0125","CurNC",0.413440210495114
"Amphibians","AA0125","CurNC_L",0.949880057665728
"Amphibians","AA0125","CurNC_M",0.641921758490965
"Amphibians","AA0125","PriFor",1
"Amphibians","AA0126","Cur0",1
"Amphibians","AA0126","CurC",0.413440210495114
"Amphibians","AA0126","CurC_L",0.949880057665728
"Amphibians","AA0126","CurC_M",0.641921758490965
"Amphibians","AA0126","CurNC",0.413440210495114
"Amphibians","AA0126","CurNC_L",0.949880057665728
"Amphibians","AA0126","CurNC_M",0.641921758490965
"Amphibians","AA0126","PriFor",1
"Amphibians","AA0127","Cur0",1
"Amphibians","AA0127","CurC",0.413440210495114
"Amphibians","AA0127","CurC_L",0.949880057665728
"Amphibians","AA0127","CurC_M",0.641921758490965
"Amphibians","AA0127","CurNC",0.413440210495114
"Amphibians","AA0127","CurNC_L",0.949880057665728
"Amphibians","AA0127","CurNC_M",0.641921758490965
"Amphibians","AA0127","PriFor",1
"Amphibians","AA0128","Cur0",1
"Amphibians","AA0128","CurC",0.413440210495114
"Amphibians","AA0128","CurC_L",0.949880057665728
"Amphibians","AA0128","CurC_M",0.641921758490965
"Amphibians","AA0128","CurNC",0.413440210495114
"Amphibians","AA0128","CurNC_L",0.949880057665728
"Amphibians","AA0128","CurNC_M",0.641921758490965
"Amphibians","AA0128","PriFor",1
"Amphibians","AA0201","Cur0",1
"Amphibians","AA0201","CurC",0.413440210495114
"Amphibians","AA0201","CurC_L",0.949880057665728
"Amphibians","AA0201","CurC_M",0.641921758490965
"Amphibians","AA0201","CurNC",0.413440210495114
