Ecoregion descriptive information,,,,,,,,,,,,,,,i=Intensive Forestry,,,,,,,,,,,,,,,,,i=Extensive Forestry,,,,,,,,,,,,,,,,,i=Annual crops,,,,,,,,,,,,,,,,,i=Permanent crops,,,,,,,,,,,,,,,,,i=Pasture,,,,,,,,,,,,,,,,,i=Urban,,,,,,,,,,,,,,,,
ECO_CODE (j),ECOREGION_NAME,BIOME,ECOREGION_AREA (km2),Assigned habitat type,z,Sorg_mammals,Sorg_birds,Sorg_reptiles,Sorg_amphibians,Sorg_plants,Mamm_VS,Bird_VS,Amph_VS,Reptile_VS,Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j",Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j",Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j",Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j",Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j",Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j"
AA0112,New Britain-New Ireland montane rain forests,1,12038.49539,island,0.258,44,103,37,20,2500,0.044857583,0.048625751,0.36488027,0.01952314,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.001666534,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,0.990810424,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.035226877,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.082196047,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0,
AA0113,New Caledonia rain forests,1,12754.24433,island,0.258,9,90,66,0,3000,0.347588683,0.09208862,0,0.529739237,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.012398506,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,0.586679641,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.130332234,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.081430358,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0.402064954,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0.004952891,
AA0114,Norfolk Island subtropical forests,1,0,island,0.258,0,42,2,0,165,0,1.45548E-07,0,6.10291E-08,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,0,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0,
AA0115,Northern New Guinea lowland rain and freshwater swamp forests,1,132801.2974,island,0.258,97,359,117,74,4400,0.054597372,0.033860256,0.224614324,0.00949396,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.18900927,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,5.924940197,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,1.006812238,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,1.954879432,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0.099357965,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0.027455457,
AA0116,Northern New Guinea montane rain forests,1,22780.86771,island,0.258,68,264,23,42,3000,0.110169207,0.013296836,0.202234569,0.022993132,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.045093435,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,0.929630009,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.092222542,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.133326435,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0.013847225,
AA0117,Queensland tropical rain forests,1,30370.7558,forest,0.344,97,375,164,63,4800,0.052535007,0.00621871,0.22226401,0.009427376,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.305040622,0.158917985,0.200681301,0.200681301,0.136966156,0.028705665,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.544231867,0.711016804,0.200681301,0.200681301,0.627064095,1.822410367,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.359303798,0.101287271,0.200681301,0.200681301,0.043752467,0.055345797,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.42910287,0.08965735,0.200681301,0.200681301,0.136819301,0.000593233,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.200681301,0.102704647,0.148785265,0.200681301,0.127933199,0.203608439,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.200681301,0.200681301,0.200681301,0.200681301,0.200681301,0.092209122,
AA0118,Seram rain forests,1,16754.99741,island,0.258,47,213,54,8,2100,0.170508737,0.034813269,0.132000369,0.008028534,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.092831007,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,1.105938485,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.119706525,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.113789472,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0.006428519,
AA0119,Solomon Islands rain forests,1,29293.07226,island,0.258,45,198,71,27,4800,0.263387554,0.097838049,0.336075969,0.204597764,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.02170746,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,2.598895252,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.006153337,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.02197677,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0.142799946,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0.009940775,
AA0120,Southeastern Papuan rain forests,1,74451.28526,island,0.258,137,509,119,91,5500,0.09932987,0.020921041,0.386572245,0.019205481,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.008814572,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,5.240559938,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.503516776,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,1.174872478,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0.063399273,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0.052053275,
AA0121,Southern New Guinea freshwater swamp forests,1,95767.63258,island,0.258,93,339,107,44,2100,0.033829317,0.018503258,0.019783386,0.008423495,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.106650608,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,2.856495246,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,1.224464292,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,1.746538644,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0.015987241,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0,
